type,positive_prompt,serial_no,negative_prompt,input_file
,"A small golden snake with a Chinese gold ingot resting on its head, coiled elegantly on a bed of shimmering pearls, symbolizing prosperity and abundance ",15,,"snake_year_4.jpg, snake_year_5.jpg"
,"A sleek golden snake intertwined with Feng Shui coins, resting on a reflective surface to amplify its energy, inviting blessings and good fortune into the home ",16,,"snake_year_6.jpg, snake_year_7.jpg"
,"A golden snake holding a carp in its coils, set against a backdrop of flowing water and lotus flowers, symbolizing wealth, determination, and great abundance",17,,"snake_year_8.jpg, snake_year_9.jpg"
,"A golden snake with blue eyes.
 Behind it, a shadow dragon : Use diluted gray ink to create a translucent dragon shadow with hints of claws , pearls , and swirling clouds around it.",18,,"snake_year_10.jpg, snake_year_11.jpg, snake_year_12.jpg"
,"A golden snake with blue eyes.
 Behind it, a shadow dragon : Use diluted gray ink to create a translucent chinese dragon shadow with hints of claws ,  and swirling clouds around it. The dragon is peaceful and calm",19,,"snake_year_13.jpg, snake_year_14.jpg"
abstract_character,"dark energy, intricate design, dark background, extremely detailed, predominant pink tones, one giel silhouette, best quality, blacklight illumination, limited palette, very aesthetic, vibrant magenta hues, portal to another world, masterpiece",20,"featureless, dull, school uniform, 3d, cropped, human man, watermark, water, pov+, bad art, extra, off-centre, large eyes, head cut off, poorly drawn face, strong muscle female, gross proportions, half shot, childloli, teeth, render, bad features, fake, chubby, prude, low quality, doll, human male character, view, covered breasts, low res, pixel, text, stipple, immature, medium breasts, off to side, chromatic aberration",
,"Visualize a couple (man and woman) on a beach during sunset, their silhouettes framed by the sun's golden hues. They form a heart sign with their bodies and arms. The sky is painted with shades of pink and orange, reflecting off the calm ocean waves.",21,,"valentine_couple_heart_1.jpg, valentine_couple_heart_2.jpg"
,"Visualize a gothic-inspired scene featuring a skeleton couple in Victorian attire sharing a tender moment in a moonlit graveyard. The setting includes ornate tombstones, weeping willows, and a full moon casting a silvery glow, creating an atmosphere that blends romance with a touch of the macabre.",22,,"valentine_skele_couple_1.jpg, valentine_skele_couple_2.jpg"
,"Visualize a gothic-inspired scene featuring a skeleton couple in Victorian attire sharing a tender moment in a graveyard. The time is day and weather is great. The setting includes ornate tombstones, weeping willows, and a bright sun in the sky, creating an atmosphere that blends romance with a touch of the macabre.",23,,"valentine_skele_couple_3.jpg, valentine_skele_couple_4.jpg"
,"Visualize a gothic-inspired scene featuring a skeleton couple in Victorian attire sharing a tender moment in a graveyard. The male holds a bunch of roses. The time is day and weather is great. The setting includes ornate tombstones, weeping willows, and a bright sun in the sky, creating an atmosphere that blends romance with a touch of the macabre.",24,,valentine_skele_couple_5.jpg
,"Imagine a steampunk-themed illustration of an intricate heart-shaped mechanism composed of gears, cogs, and clockwork elements. The design showcases metallic textures and a vintage color palette, symbolizing the mechanical yet passionate nature of love.",25,,valentine_steampunk_heart_1.jpg
,"Design an Art Nouveau-inspired scene of a couple in an enchanted garden, surrounded by flowing lines, stylized floral patterns, and elegant motifs. The aesthetic emphasizes harmony and beauty, with a romantic and timeless feel.",26,,"valentine_artnouveau_couple_1.jpg, valentine_artnouveau_couple_2.jpg, valentine_artnouveau_couple_3.jpg"
,"Envision a sinuous snake gracefully coiled into a heart shape, its body adorned with intricate floral patterns typical of Art Nouveau. The design features flowing lines and natural forms, capturing the essence of the movement.",27,,"valentine_heart_snake_artnouveau_1.jpg, "
,"1 girl, winking at viewer, young girl, sexy tank top, big breast, focus on the breasts",28,,
,"breast curtains, china dress, areola slip,",,"(worst quality, low quality:1.3), (depth of field, blurry:1.2), (greyscale, monochrome:1.1), 3D face, nose, cropped, lowres, text, jpeg artifacts, signature, watermark, username, blurry, artist name, trademark, watermark, title, multiple view, Reference sheet,",
,"breast curtains, china dress, areola slip,<lora:breastCurtains_v10>,  <lora:puuzakiPuunaStyle_v10:0.3>, (best quality:1.0), (8k wallpaper:1.0), extremely delicate and beautiful, (beautiful detailed face:1.0), (detailed deep eyes), symmetrical breasts, deep eyes, steam, shiny skin,",,"(sketch by bad-artist-anime:0.9), (painting by bad-artist:0.9), (bad-hands:0.9), (bad_prompt:0.5), watermark, text, error, blurry, jpeg artifacts, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, artist name, (worst quality, low quality:1.4), bad anatomy, greyscale, monochrome, lowres, bad proportions, bad hands, multiple arms, multiple legs, deformed, text, error, missing fingers, extra fingers, extra digit, extra limb, extra nipple, extra breast, missing limb, floating limbs, disconnected limbs, severed, dismembered, corpse, malformed hands, long neck, long body, fewer digits, deformed, disfigured, amputee, mutated, mutation, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name, (((censored))), fat, long body, poorly drawn face, ((futa))",
target,"Futuristic logo for 'AokI' with 'AI' in holographic cyan. A stylized neon-blue tree made of floating data particles and binary code forms the letter 'I' in 'AokI.' The 'K' is metallic chrome with circuit patterns. Background: starry void with subtle AI equations. Clean, 3D-rendered.",,,Logo_AokI.jpg
